CountyFIPS,State,County,PopulationSize,PopulationChangeRate_2010_2020,PopulationChangeRate_2020_2021,GDP_2021_thousands,GDP_staterank2021,GDP_pctchange_2020_2021,GDP_pctchange_staterank2021,DAC_StatusYES_NumTracts,DAC_StatusYES_PctTracts,SVI_OverallRanking,SVI_Socioeconomic,SVI_HouseholdCharacteristics,SVI_MinorityStatus,SVI_HousingTransportation,PctAge65andOlder,PctUnderAge18,PctBlackNonHispanic,PctHispanic,PctNativeAmerican,PctWhiteNonHispanic,PctMultipleRace,PctLimitedEnglishSpeaking,PctForeignBorn,PctLessThanHS,PctHSDiplomaOnly,PctSomeCollege,PctAssocDegree,PctCollegePlus,MedianHHInc,PovertyRate,EnergyBurden,UnemploymentRate,Literacy_AvgScore,Literacy_PctLevel1,Literacy_PctLevel2,Literacy_PctLevel3,Numeracy_AvgScore,Numeracy_PctLevel1,Numeracy_PctLevel2,Numeracy_PctLevel3,HealthRank_HealthOutcomes,HealthRank_LengthOfLife,HealthRank_QualityOfLife,HealthRank_HealthFactors,HealthRank_HealthBehaviors,HealthRank_ClinicalCare,HealthRank_SocialEconomicFactors,HealthRank_PhysicalEnvironment,Cancer_PctTractsOver75thPctile,Respiratory_PctTractsOver75thPctile,DieselPM_PctTractsOver75thPctile,PM25_PctTractsOver75thPctile,Ozone_PctTractsOver75thPctile,LeadPaint_PctTractsOver75thPctile,NPL_PctTractsOver75thPctile,RMP_PctTractsOver75thPctile,TSDF_PctTractsOver75thPctile,UST_PctTractsOver75thPctile,Wastewater_PctTractsOver75thPctile,ClimateLifeLoss_PctTractsOver75thPctile,Uninsured_PctTractsOver75thPctile,FoodDesert_PctTractsOver75thPctile,NoInternet_PctTractsOver75thPctile,Over30minCommute_PctTractsOver75thPctile,AvgCommute_mins,TotalWorkforce,FossilEmpRank_PctTractsOver75thPctile,CoalEmpRank_PctTractsOver75thPctile,PctEmpExtraction,PctJobs_ManagementBusinessFinancial,PctJobs_ComputerEngineeringScience,PctJobs_EducationLegalArtsMedia,PctJobs_Healthcare,PctJobs_Service,PctJobs_SalesOffice,PctJobs_NaturalResourcesConstructionMaintenance,PctJobs_ProductionTransportation,OutageNumber,OutageDuration,NameplateCapacity_Total_MW,NameplateCapacity_Wind_MW,Pct_NameplateCapacity_Wind,NameplateCapacity_SolarPV_MW,Pct_NameplateCapacity_SolarPV,NameplateCapacity_Batteries_MW,Pct_NameplateCapacity_Batteries,NameplateCapacity_LandfillGas_MW,Pct_NameplateCapacity_LandfillGas,NameplateCapacity_NaturalGasCC_MW,Pct_NameplateCapacity_NaturalGasCC,NameplateCapacity_NaturalGasCT_MW,Pct_NameplateCapacity_NaturalGasCT,NameplateCapacity_NaturalGasST_MW,Pct_NameplateCapacity_NaturalGasST,NameplateCapacity_NaturalGasICE_MW,Pct_NameplateCapacity_NaturalGasICE,NameplateCapacity_PetroleumLiquids_MW,Pct_NameplateCapacity_PetroleumLiquids,NameplateCapacity_Coal_MW,Pct_NameplateCapacity_Coal,NameplateCapacity_Hydro_MW,Pct_NameplateCapacity_Hydro,NameplateCapacity_Geothermal_MW,Pct_NameplateCapacity_Geothermal,NameplateCapacity_WoodWoodwasteBiomass_MW,Pct_NameplateCapacity_WoodWoodwasteBiomass,NameplateCapacity_OtherWasteBiomass_MW,Pct_NameplateCapacity_OtherWasteBiomass,NameplateCapacity_OtherGases_MW,Pct_NameplateCapacity_OtherGases,NameplateCapacity_Nuclear_MW,Pct_NameplateCapacity_Nuclear,NameplateCapacity_Flywheels_MW,Pct_NameplateCapacity_Flywheels,NameplateCapacity_PetroleumCoke_MW,Pct_NameplateCapacity_PetroleumCoke,NameplateCapacity_AllOther_MW,Pct_NameplateCapacity_AllOther,Oil_BBL_2022,Oil_Condensate_BBL_2022_TX,Gas_Casinghead_MCF_2022_TX,Gas_GW_MCF_2022_TX,Gas_MCF_2022_NM,ElectricalPowerTransmissionLine_km,ElectricalPowerTransmissionLine_miles,CrudeOilPipeline_km,CrudeOilPipeline_miles,PetroleumPipeline_km,PetroleumPipeline_miles,NaturalGasPipeline_km,NaturalGasPipeline_miles,CO2Pipelines_km,CO2Pipelines_miles,UtilityPV_TechPotential,ResidentialPV_TechPotential,CommercialPV_TechPotential,LandbasedWind_TechPotential,DistributedWind_TechPotential,GeothermalHeatPump_EconPotential
35001,NM,Bernalillo County,674393,2.094891965,-0.323390695,35421924,1,4.9,7,53,34.6,0.7785,0.6805,0.6814,0.937,0.6938,16.75999787,21.0916203,2.641903838,48.70780138,4.527795353,37.45395036,20.9919816,4.1,10.15069957,9.713680244,22.40869192,22.52661216,9.00209992,36.34891575,56920,16.09145602,2,6.2,258.2,25.7,28.8,45.5,241.9,34.9,29.6,35.5,8,8,12,4,4,3,3,32,55.11363636,39.20454545,50.56818182,0,100,17.04545455,41.47727273,6.818181818,35.79545455,25.56818182,NA,0,20.91503268,0,26.14379085,3.921568627,22.7,319686,100,100,0.325632026,15.67850954,8.241837303,13.08471438,7.349711905,18.23351664,21.0300107,7.982520348,8.399179195,0,0,382.2,0,0,56,14.7,0.8,0.2,0,0,0,0,163.7,42.8,154,40.3,2.2,0.6,0,0,0,0,0,0,0,0,0,0,4.4,1.2,0,0,0,0,0,0,0,0,1.1,0.3,NA,NA,NA,NA,NA,555.6,345.2,16.8,10.5,49.3,30.6,71.2,44.2,0,0,88286181.46,1591104.16,988588.48,7268207.09,8915330.06,1136.823639
35003,NM,Catron County,3731,-3.919463087,3.294573643,85856,31,1.2,16,1,100,0.4548,0.4411,0.7126,0.5083,0.2479,42.6096675,10.1424979,0.977926795,16.82034088,1.313215982,76.50181615,10.05867561,3.9,2.848366378,5.157103825,41.80327869,28.41530055,7.75273224,16.8715847,37623,22.4484026,6,6.2,266.1,15.4,41,43.6,248.5,27.4,43.2,29.3,23,18,24,26,30,6,28,2,0,0,0,0,100,0,0,0,0,0,NA,100,0,0,100,0,20.1,781,0,0,0.384122919,5.76184379,2.04865557,11.65172855,2.944942382,11.65172855,35.08322663,25.48015365,5.377720871,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,554.6,344.6,0,0,0,0,0,0,0,0,305880134.6,11517.29,5306.22,77158136.73,7713557.05,22.01605376
35005,NM,Chaves County,64629,-0.74339249,-0.827093052,1887351,12,-3.1,24,13,81.2,0.9516,0.8466,0.978,0.9354,0.8374,15.64221803,26.37629111,1.453412527,56.93478828,0.630784106,37.51707414,18.83297267,5.2,11.34063432,20.11041767,26.54344695,27.29476716,9.111857897,16.93951032,47620,21.24181437,2,7.1,241.5,35.9,32,32.1,224.8,46.8,28.4,24.8,20,23,16,25,16,28,22,21,0,0,0,0,100,29.41176471,70.58823529,0,0,35.29411765,NA,12.5,18.75,0,75,0,17.8,26853,100,100,2.11894388,9.376978364,2.599337132,11.44006256,5.630655793,20.86917663,21.47990913,12.32264551,16.28123487,0,0,159.3,15,9.4,144.3,90.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636952,NA,NA,NA,10510906,451.5,280.5,158.6,98.6,281.3,174.8,545.6,339,108.4,67.4,831318002,173267.44,327076.26,109672058.5,7658127.28,33.71007251
35006,NM,Cibola County,27184,-0.150663286,0.398877234,559748,20,-4.2,27,7,100,0.9815,0.8358,0.9761,0.9828,0.9835,16.76358016,23.6051818,0.934785809,31.81215958,43.30560871,20.38127484,12.7925806,4.9,2.298050139,18.18429069,32.27262837,23.53133159,10.36771105,15.64403829,47300,27.86036993,3,9.3,241.1,33.3,37.3,29.4,222,47.1,32.2,20.8,30,27,30,30,31,22,29,10,0,0,0,0,100,0,66.66666667,0,0,22.22222222,NA,0,42.85714286,0,100,0,23.3,8725,0,0,2.727793696,10.04011461,3.11747851,9.398280802,4.011461318,28.5730659,25.99426934,10.41833811,8.446991404,0,0,64,0,0,64,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,238.6,148.3,0,0,0,0,237,147.2,0,0,355669049.2,56512.31,28545.37,57860672.02,7586672.53,70.77521367
35007,NM,Colfax County,12369,-9.912727273,0.300032436,426659,24,0.2,19,3,100,0.9306,0.7199,0.9223,0.8902,0.9733,27.74683136,18.39832082,0.201824493,47.45297489,0.871881812,48.06652135,21.05433115,2.7,3.183943253,10.35306898,31.58066268,26.56165128,9.712112982,21.79250407,39483,19.64497041,4,5.9,248.9,28.1,35.1,36.8,229.9,40,34.5,25.5,29,26,31,5,11,4,8,13,0,0,0,0,100,66.66666667,0,0,0,0,NA,66.66666667,0,0,100,0,19.7,4917,0,0,0.874516982,17.16493797,2.50152532,9.355297946,3.55908074,23.10351841,21.80191173,10.79926785,11.71446004,0,0,32.6,0,0,32.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,624.6,388.1,0,0,0,0,0,0,60,37.3,258923015.3,37809.53,66775.41,43478475.69,5127931.6,31.31151143
35009,NM,Curry County,47999,0.111625599,-0.674599069,2892180,8,1.4,15,4,33.3,0.9281,0.9523,0.9609,0.8892,0.5312,12.70906463,26.77472641,5.18893248,45.00516209,0.514144126,43.46892422,16.33285154,4.1,8.69529518,19.2654424,24.21035058,25.8130217,9.439065109,21.2721202,51199,19.50344943,3,4.9,251.3,29.8,32.3,37.9,234.2,41,29.8,29.2,5,7,8,17,26,21,5,26,0,0,0,0,100,7.142857143,0,7.142857143,0,7.142857143,NA,16.66666667,41.66666667,0,41.66666667,0,16.4,19177,100,100,0.406737237,12.55670856,2.221411065,10.26229337,3.770141315,18.06851958,23.23616833,13.98550347,15.89925432,0,0,568.5,566.5,99.6,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,448,278.4,0,0,61.2,38,10.5,6.5,89.3,55.5,237918943.4,121338.99,267163.05,25885905.05,8943271.05,43.64831519
35011,NM,De Baca County,1680,-16.02373887,0.119189511,79599,32,-5.8,29,1,100,0.5891,0.7782,0.2447,0.9621,0.2775,28.68080094,19.9057715,0.176678445,38.51590106,0.23557126,57.89163722,11.07184923,1.7,0.320341698,19.12350598,27.19123506,36.65338645,6.374501992,10.65737052,32750,17.7262931,4,5.1,249.5,28.3,36.8,34.9,230.9,40.1,36.2,23.7,18,18,17,12,14,24,12,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,11.7,567,100,100,1.058201058,15.87301587,1.76366843,3.350970018,3.174603175,11.11111111,13.58024691,39.329806,11.81657848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,97.1,60.3,0,0,32.3,20.1,0,0,30.8,19.1,365020793.2,4069.42,12316.56,51385219.39,1469327.98,4.323075088
35013,NM,Dona Ana County,221508,4.936123843,0.731699553,6847115,3,3,10,27,65.9,0.9898,0.9723,0.9201,0.9717,0.971,16.13219105,23.87445858,1.444701017,67.25784634,0.66632963,27.21293855,27.37143664,10.5,15.97473379,19.25569491,21.53291226,20.89831472,8.27371509,30.03936301,47151,23.19793202,2,6.6,240.4,38.4,27.5,34.1,221.2,49.7,23.5,26.8,7,2,18,10,9,15,10,31,18.03278689,1.639344262,3.278688525,0,100,6.557377049,50.81967213,1.639344262,1.639344262,19.67213115,NA,21.95121951,34.14634146,0,68.29268293,4.87804878,22.7,88492,100,100,0.901776432,11.33209782,6.528273742,13.71649415,5.164308638,22.26076934,21.33074176,10.9851738,8.682140758,0,0,748.5,0,0,54.3,7.3,1,0.1,3.2,0.4,287,38.3,136.5,18.2,266.5,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,739.2,459.3,0,0,190.5,118.4,144.3,89.7,0,0,410916854.9,450429.52,265080.19,43326413.52,11359081.47,245.5658368
35015,NM,Eddy County,60911,15.76287875,-2.162005879,7359252,2,-12,31,6,50,0.6935,0.4589,0.9026,0.8956,0.5461,14.158937,26.3070899,1.269377668,50.24071637,0.831273871,43.55201078,18.72131463,4.7,6.203352102,16.97065016,31.31072271,24.82433221,9.99467289,16.89962203,67759,14.70008775,2,6.4,247.1,28.7,38.4,32.8,230.5,39.5,38.6,21.9,13,22,2,19,25,18,11,28,0,0,0,0,100,23.07692308,0,15.38461538,0,23.07692308,0,8.333333333,33.33333333,0,33.33333333,0,20.9,27373,100,100,15.8513864,14.44854419,4.453293391,8.574142403,4.624995433,14.4704636,19.15391079,18.12735177,16.14729843,0,0,10.1,0,0,10.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233796620,NA,NA,NA,1187358536,825.9,513.2,183.4,114,33.4,20.7,1652.6,1026.9,24.7,15.3,572804298.7,158208.56,274323.67,54613926.67,8394980.79,26.21448339
35017,NM,Grant County,27889,-4.502947754,-1.134389734,957071,15,-0.6,21,6,75,0.9004,0.7339,0.823,0.8937,0.9589,28.24906865,18.99591982,0.883448643,47.77718645,0.940216427,46.53893915,19.48908994,1.3,3.115906026,12.79138389,27.30402282,25.25818826,7.952198289,26.69420675,39429,22.06712098,3,7.3,253.2,28.6,29.3,42.1,236.4,38.7,28,33.2,15,13,20,6,10,7,15,4,0,0,0,0,100,30,0,0,0,10,NA,37.5,0,0,75,12.5,19.6,9386,100,100,9.088003409,10.0575325,4.44278713,12.77434477,7.617728532,22.26720648,17.71787769,12.88088643,12.24163648,0,0,85.4,0,0,1,1.2,0,0,0,0,54,63.2,0,0,0,0,0,0,30.4,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,259.9,161.5,0,0,31.1,19.3,146.1,90.8,0,0,195570509.4,82117.26,56565.94,35835974.53,7598150.84,40.44014068
